Headword	POS	Sense (translation)	Example	Expression	Cf.
abadîn	adj	eternal			
aborî	adj	economic, financial			
aborî	f	economy			
aborizan 	adj	economist			
ëaciz	adj	helpless, unable to cope	"ez ji kêzikan zehf ëaciz im: I am utterly incapable of coping with bugs"		
Adar	f	March			
ëadet	f	custom			
aferîde	m	creature			
aferîn	excl	bravo	"bravo ji ... re: good for ..." 		
afirandin 	v.t. 	to create			
afîş	f	poster			
aga	adj	aware			
agadarî	f	information, announcement; awareness			
agah					aga
agahdarî					agadarî
agir	m	fire		"agir danîn bi: to set fire to"	
